k,N,hybrid_ms
5,50,5.2094
6,50,4.9566
7,50,5.076
8,50,4.8624
9,50,4.8141
10,50,4.8508
11,50,4.9204
12,50,4.7493
13,50,4.8652
14,50,4.8453
15,50,4.7693
16,50,4.6768
17,50,4.8079
18,50,4.8866
19,50,4.6799
20,50,4.7356
21,50,4.8856
22,50,4.7107
23,50,5.0544
24,50,4.8435
25,50,4.8483
5,100,11.0698
6,100,10.9198
7,100,11.8909
8,100,12.4454
9,100,11.763
10,100,13.8779
11,100,11.7438
12,100,12.0397
13,100,13.0094
14,100,11.6815
15,100,11.9471
16,100,15.503
17,100,11.2685
18,100,15.6893
19,100,13.0008
20,100,11.8524
21,100,11.6635
22,100,12.2882
23,100,12.2677
24,100,11.6991
25,100,11.3874
5,500,138.423
6,500,81.2538
7,500,81.9248
8,500,76.9488
9,500,71.4841
10,500,77.8173
11,500,80.9366
12,500,70.9395
13,500,67.17
14,500,67.817
15,500,67.2445
16,500,68.0733
17,500,71.4122
18,500,67.0158
19,500,66.1691
20,500,66.8514
21,500,66.6866
22,500,68.0884
23,500,67.3706
24,500,66.6378
25,500,66.4373
5,1000,150.103
6,1000,147.951
7,1000,148.231
8,1000,149.11
9,1000,145.717
10,1000,145.995
11,1000,149.797
12,1000,145.351
13,1000,144.665
14,1000,145.024
15,1000,144.295
16,1000,144.397
17,1000,165.649
18,1000,172.897
19,1000,180.92
20,1000,153.079
21,1000,149.719
22,1000,145.899
23,1000,147.875
24,1000,144.411
25,1000,148.305
5,5000,901.961
6,5000,929.558
7,5000,883.414
8,5000,869.88
9,5000,869.517
10,5000,870.408
11,5000,862.478
12,5000,863.167
13,5000,859.814
14,5000,871.363
15,5000,859.888
16,5000,877.658
17,5000,976.749
18,5000,935.583
19,5000,857.515
20,5000,906.206
21,5000,894.429
22,5000,861.579
23,5000,859.973
24,5000,860.619
25,5000,857.729
5,10000,1897.98
6,10000,1892.38
7,10000,1881.14
8,10000,1961.54
9,10000,1981.74
10,10000,1876.59
11,10000,1888.11
12,10000,1870.82
13,10000,1934.75
14,10000,1960.45
15,10000,1942.85
16,10000,1996.94
17,10000,1973.57
18,10000,1855.34
19,10000,1876.48
20,10000,1856.73
21,10000,1860.45
22,10000,1861.56
23,10000,1944.69
24,10000,1942.41
25,10000,1912.68
